@relation 'GroupOfAllFeatures: -C 6'
@attribute anger_class {0.0,1.0}
@attribute disgust_class {0.0,1.0}
@attribute fear_class {0.0,1.0}
@attribute sadness_class {0.0,1.0}
@attribute surprise_class {0.0,1.0}
@attribute happiness_class {0.0,1.0}
@attribute totalNumberofWords numeric
@attribute numberOfUniqueWords numeric
@attribute numberOfSentences numeric
@attribute averageSentenceLengthinCharacters numeric
@attribute averageSentenceLengthinWords numeric
@attribute averageWordLength numeric
@attribute averageWordsPerParagraph numeric
@attribute numberOfParagraphs numeric
@attribute percentageOfQuestionSentences numeric
@attribute percentageOfWordsWithLength3 numeric
@attribute percentageOfWordsWithLength4 numeric
@attribute characterCount numeric
@attribute characterCountWithoutSpaces numeric
@attribute digitCount numeric
@attribute numberOfUpperCaseCharacters numeric
@attribute numberOfWhiteSpaces numeric
@attribute numberOfTabs numeric
@attribute numberOfRightCurlyBraces numeric
@attribute numberOfLeftCurlyBraces numeric
@attribute numberOfVerticalLines numeric
@attribute numberOfTilds numeric
@attribute numberOfDollarSigns numeric
@attribute numberOfPercentSigns numeric
@attribute numberOfAmpersands numeric
@attribute numberOfLeftparentheses numeric
@attribute numberOfRightparentheses numeric
@attribute numberOfAsterics numeric
@attribute numberOfPlusSigns numeric
@attribute numberOfLessThanSign numeric
@attribute numberOfGreaterThanSign numeric
@attribute numberOfEqualSign numeric
@attribute numberOfAtSign numeric
@attribute numberOfLeftSquareBracket numeric
@attribute numberOfRightSquareBracket numeric
@attribute numberOfUnderScore numeric
@attribute ratioOfDigitsToN numeric
@attribute ratioOfLettersToN numeric
@attribute ratioOfWhiteSpacesToN numeric
@attribute ratioOfSpecialCharacterToN numeric
@attribute ratioOfTabsToN numeric
@attribute ratioOfUpperCaseLettersToN numeric
@attribute countApostrophe numeric
@attribute countBrackets numeric
@attribute countColon numeric
@attribute countComma numeric
@attribute countDash numeric
@attribute countEllipsis numeric
@attribute countExclamation numeric
@attribute countFullStop numeric
@attribute countQMark numeric
@attribute countSemicolon numeric
@attribute countSlash numeric
@attribute numberOfSingleQuotes numeric
@attribute numberOfMultipleQuestionMarks numeric
@attribute numberOfMultipleExclamationMarks numeric
@attribute percentageOfCommas numeric
@attribute percentageOfPunctuationCharacters numeric
@attribute percentageOfSemiColons numeric
@attribute honoreRMeasure numeric
@attribute sichelSMeasure numeric
@attribute brunetWMeasure numeric
@attribute yuleKMeasure numeric
@attribute simpsonDMeasure numeric
@attribute hapaxLegomena numeric
@data
0.0,0.0,0.0,1.0,0.0,0.0,16.0,12.0,1.0,91.0,16.0,5.6875,0.0,0.0,0.0,0.0,43.75,91.0,76.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.483516483516482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.7766166719343,0.3333333333333333,6.285111269312285,312.5,0.03333333333333333,8.0
0.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,1.0,35.0,7.0,5.0,0.0,0.0,0.0,14.285714285714285,71.42857142857143,35.0,29.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.5460894331882,0.16666666666666666,4.249608546803155,408.1632653061224,0.047619047619047616,5.0
0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,36.0,8.0,4.5,0.0,0.0,0.0,50.0,75.0,36.0,29.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,47.0,8.0,5.875,0.0,0.0,0.0,25.0,37.5,47.0,40.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,11.0,1.0,62.0,12.0,5.166666666666667,0.0,0.0,0.0,33.33333333333333,75.0,62.0,51.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2733.3973147667994,0.09090909090909091,5.319268784133835,138.88888888888889,0.015151515151515152,10.0
1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,1.0,75.0,12.0,6.25,0.0,0.0,0.0,0.0,25.0,75.0,64.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.4533248940004,0.2,5.462420810756662,277.77777777777777,0.030303030303030304,8.0
0.0,0.0,1.0,1.0,0.0,0.0,9.0,7.0,1.0,39.0,9.0,4.333333333333333,0.0,0.0,0.0,44.44444444444444,100.0,39.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51282051282051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.0572041353532,0.0,4.916308313338444,740.7407407407406,0.08333333333333333,6.0
0.0,0.0,0.0,1.0,1.0,0.0,14.0,14.0,1.0,69.0,14.0,4.928571428571429,0.0,0.0,0.0,35.714285714285715,64.28571428571429,69.0,56.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84057971014493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50473202950326,0.0,0.0,14.0
0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,1.0,44.0,9.0,4.888888888888889,0.0,0.0,0.0,33.33333333333333,77.77777777777779,44.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60764272735152,0.0,0.0,9.0
0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,23.0,5.0,4.6,0.0,0.0,0.0,20.0,80.0,23.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4324978614603396,0.0,0.0,5.0
