@relation 'GroupOfWordFeatures: -C 6'
@attribute anger_class {0.0,1.0}
@attribute disgust_class {0.0,1.0}
@attribute fear_class {0.0,1.0}
@attribute sadness_class {0.0,1.0}
@attribute surprise_class {0.0,1.0}
@attribute happiness_class {0.0,1.0}
@attribute totalNumberofWords numeric
@attribute numberOfUniqueWords numeric
@attribute numberOfSentences numeric
@attribute averageSentenceLengthinCharacters numeric
@attribute averageSentenceLengthinWords numeric
@attribute averageWordLength numeric
@attribute averageWordsPerParagraph numeric
@attribute numberOfParagraphs numeric
@attribute percentageOfQuestionSentences numeric
@attribute percentageOfWordsWithLength3 numeric
@attribute percentageOfWordsWithLength4 numeric
@data
0.0,0.0,0.0,1.0,0.0,0.0,16.0,12.0,1.0,91.0,16.0,5.6875,0.0,0.0,0.0,0.0,43.75
0.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,1.0,35.0,7.0,5.0,0.0,0.0,0.0,14.285714285714285,71.42857142857143
0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,36.0,8.0,4.5,0.0,0.0,0.0,50.0,75.0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,47.0,8.0,5.875,0.0,0.0,0.0,25.0,37.5
0.0,0.0,1.0,0.0,0.0,0.0,12.0,11.0,1.0,62.0,12.0,5.166666666666667,0.0,0.0,0.0,33.33333333333333,75.0
1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,1.0,75.0,12.0,6.25,0.0,0.0,0.0,0.0,25.0
0.0,0.0,1.0,1.0,0.0,0.0,9.0,7.0,1.0,39.0,9.0,4.333333333333333,0.0,0.0,0.0,44.44444444444444,100.0
0.0,0.0,0.0,1.0,1.0,0.0,14.0,14.0,1.0,69.0,14.0,4.928571428571429,0.0,0.0,0.0,35.714285714285715,64.28571428571429
0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,1.0,44.0,9.0,4.888888888888889,0.0,0.0,0.0,33.33333333333333,77.77777777777779
0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,23.0,5.0,4.6,0.0,0.0,0.0,20.0,80.0
0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,1.0,29.0,6.0,4.833333333333333,0.0,0.0,0.0,33.33333333333333,33.33333333333333
0.0,0.0,0.0,1.0,0.0,1.0,11.0,9.0,1.0,45.0,11.0,4.090909090909091,0.0,0.0,0.0,54.54545454545454,100.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,57.0,10.0,5.7,0.0,0.0,0.0,20.0,60.0
1.0,1.0,0.0,1.0,0.0,0.0,12.0,12.0,1.0,61.0,12.0,5.083333333333333,0.0,0.0,0.0,33.33333333333333,66.66666666666666
0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,1.0,29.0,6.0,4.833333333333333,0.0,0.0,0.0,16.666666666666664,83.33333333333334
1.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,1.0,51.0,13.0,3.923076923076923,0.0,0.0,0.0,84.61538461538461,84.61538461538461
0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,75.0,14.0,5.357142857142857,0.0,0.0,0.0,21.428571428571427,57.14285714285714
1.0,1.0,1.0,1.0,0.0,0.0,16.0,15.0,1.0,86.0,16.0,5.375,0.0,0.0,0.0,25.0,56.25
0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,2.0,4.5,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,18.0,4.0,4.5,0.0,0.0,0.0,50.0,75.0
0.0,1.0,0.0,1.0,1.0,0.0,7.0,7.0,1.0,35.0,7.0,5.0,0.0,0.0,0.0,14.285714285714285,57.14285714285714
0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,28.0,6.0,4.666666666666667,0.0,0.0,0.0,33.33333333333333,66.66666666666666
0.0,0.0,1.0,0.0,0.0,0.0,11.0,11.0,1.0,50.0,11.0,4.545454545454546,0.0,0.0,0.0,36.36363636363637,81.81818181818183
0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,17.0,4.0,4.25,0.0,0.0,0.0,50.0,100.0
1.0,1.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,39.0,8.0,4.875,0.0,0.0,0.0,37.5,75.0
0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,49.0,8.0,6.125,0.0,0.0,0.0,0.0,25.0
0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,60.0,10.0,6.0,0.0,0.0,0.0,0.0,30.0
0.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,60.0,12.0,5.0,0.0,0.0,0.0,25.0,66.66666666666666
0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,16.0,4.0,4.0,0.0,0.0,0.0,50.0,100.0
0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,28.0,6.0,4.666666666666667,0.0,0.0,0.0,33.33333333333333,83.33333333333334
0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,13.0,3.0,4.333333333333333,0.0,0.0,0.0,66.66666666666666,66.66666666666666
0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,35.0,6.0,5.833333333333333,0.0,0.0,0.0,16.666666666666664,16.666666666666664
0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,23.0,4.0,5.75,0.0,0.0,0.0,0.0,50.0
